CITY_NAME,STATE_NAME,CRIME_CODE,CRIME_DESCRIPTION,DATE_REPORTED,DATE_OCCURRED,LATITUDE,LONGITUDE,DATE_FORMAT
Baltimore,Maryland,6G,LARCENY,,2022/11/26 10:50:00+00,39.2879,-76.5303,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/26 14:00:00+00,39.3374,-76.7012,MM/DD/YYYY
Baltimore,Maryland,4B,AGG. ASSAULT,,2022/11/26 14:15:00+00,39.2982,-76.5708,MM/DD/YYYY
Baltimore,Maryland,6F,LARCENY,,2022/11/26 12:00:00+00,39.2841,-76.613,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/26 14:50:00+00,39.298,-76.5721,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/26 17:15:09+00,39.3055,-76.5879,MM/DD/YYYY
Baltimore,Maryland,6F,LARCENY,,2022/11/26 10:30:00+00,39.3701,-76.5831,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/26 17:00:00+00,39.3158,-76.6059,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/26 17:52:00+00,39.3224,-76.5924,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/26 17:44:00+00,39.3091,-76.6694,MM/DD/YYYY
Baltimore,Maryland,4A,AGG. ASSAULT,,2022/11/26 18:51:00+00,39.3069,-76.6423,MM/DD/YYYY
Baltimore,Maryland,4A,AGG. ASSAULT,,2022/11/26 18:51:00+00,39.3069,-76.6423,MM/DD/YYYY
Baltimore,Maryland,4A,AGG. ASSAULT,,2022/11/26 18:51:00+00,39.3069,-76.6423,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/26 21:00:00+00,39.2884,-76.6137,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/26 21:45:00+00,39.3071,-76.6455,MM/DD/YYYY
Baltimore,Maryland,7A,AUTO THEFT,,2022/11/26 20:04:00+00,39.3083,-76.6448,MM/DD/YYYY
Baltimore,Maryland,7A,AUTO THEFT,,2022/11/26 21:24:00+00,39.3103,-76.6357,MM/DD/YYYY
Baltimore,Maryland,4A,AGG. ASSAULT,,2022/11/26 18:15:00+00,39.3123,-76.5896,MM/DD/YYYY
Baltimore,Maryland,3JF,ROBBERY,,2022/11/26 18:53:00+00,39.3236,-76.6073,MM/DD/YYYY
Baltimore,Maryland,4A,AGG. ASSAULT,,2022/11/26 00:23:00+00,39.3098,-76.6504,MM/DD/YYYY
Baltimore,Maryland,6J,LARCENY,,2022/11/11 08:25:00+00,39.3309,-76.6943,MM/DD/YYYY
Baltimore,Maryland,2A,RAPE,,2022/11/11 15:00:00+00,39.3004,-76.6049,MM/DD/YYYY
Baltimore,Maryland,7A,AUTO THEFT,,2022/11/11 23:30:00+00,39.3063,-76.6371,MM/DD/YYYY
Baltimore,Maryland,7A,AUTO THEFT,,2022/11/11 20:30:00+00,39.2941,-76.5882,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/11 17:06:00+00,39.3073,-76.6709,MM/DD/YYYY
Baltimore,Maryland,4B,AGG. ASSAULT,,2022/11/11 17:00:00+00,39.3635,-76.5831,MM/DD/YYYY
Baltimore,Maryland,7A,AUTO THEFT,,2022/11/11 09:30:00+00,39.2934,-76.56,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/11 18:00:00+00,39.2961,-76.5821,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/11 17:00:00+00,39.2638,-76.639,MM/DD/YYYY
Baltimore,Maryland,5A,BURGLARY,,2022/11/11 11:00:00+00,39.3033,-76.6168,MM/DD/YYYY
Baltimore,Maryland,6D,LARCENY FROM AUTO,,2022/11/11 17:00:00+00,39.2318,-76.601,MM/DD/YYYY
Baltimore,Maryland,7A,AUTO THEFT,,2022/11/11 22:00:00+00,39.3476,-76.5969,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/11 00:09:00+00,39.2763,-76.6143,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/11 00:45:04+00,39.3146,-76.5949,MM/DD/YYYY
Baltimore,Maryland,6F,LARCENY,,2022/11/11 01:20:00+00,39.36,-76.691,MM/DD/YYYY
Baltimore,Maryland,6J,LARCENY,,2022/11/11 11:00:00+00,39.2682,-76.6841,MM/DD/YYYY
Baltimore,Maryland,7A,AUTO THEFT,,2022/11/11 03:00:00+00,39.2983,-76.6159,MM/DD/YYYY
Baltimore,Maryland,7A,AUTO THEFT,,2022/11/11 18:00:00+00,39.3246,-76.5603,MM/DD/YYYY
Baltimore,Maryland,6D,LARCENY FROM AUTO,,2022/11/11 11:59:00+00,39.2796,-76.5671,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/11 02:00:00+00,39.2968,-76.6102,MM/DD/YYYY
Baltimore,Maryland,6D,LARCENY FROM AUTO,,2022/11/11 21:00:00+00,39.3002,-76.6012,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/10/28 17:00:00+00,39.3014,-76.6622,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/10/28 17:00:00+00,39.3014,-76.6622,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/10/28 17:00:00+00,39.3014,-76.6622,MM/DD/YYYY
Baltimore,Maryland,6D,LARCENY FROM AUTO,,2022/10/28 23:00:00+00,39.3052,-76.6474,MM/DD/YYYY
Baltimore,Maryland,6D,LARCENY FROM AUTO,,2022/10/28 21:45:00+00,39.3233,-76.6908,MM/DD/YYYY
Baltimore,Maryland,6F,LARCENY,,2022/10/28 10:30:00+00,39.3192,-76.6112,MM/DD/YYYY
Baltimore,Maryland,6D,LARCENY FROM AUTO,,2022/10/28 20:00:00+00,39.3091,-76.6102,MM/DD/YYYY
Baltimore,Maryland,6J,LARCENY,,2022/10/28 16:30:00+00,39.2724,-76.5376,MM/DD/YYYY
Baltimore,Maryland,5B,BURGLARY,,2022/10/28 10:00:00+00,39.2722,-76.6767,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/10/28 05:14:00+00,39.3424,-76.6685,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/10/28 05:46:00+00,39.3235,-76.5877,MM/DD/YYYY
Baltimore,Maryland,7A,AUTO THEFT,,2022/10/28 07:18:00+00,39.3562,-76.6241,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/10/28 07:00:00+00,39.362,-76.5845,MM/DD/YYYY
Baltimore,Maryland,6F,LARCENY,,2022/10/28 00:00:00+00,39.2712,-76.6166,MM/DD/YYYY
Baltimore,Maryland,7A,AUTO THEFT,,2022/10/28 00:30:00+00,39.3001,-76.5795,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/10/28 00:00:00+00,39.3566,-76.6347,MM/DD/YYYY
Baltimore,Maryland,4C,AGG. ASSAULT,,2022/10/28 03:37:00+00,39.2883,-76.6067,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/10/28 12:00:00+00,39.2861,-76.5521,MM/DD/YYYY
Baltimore,Maryland,4A,AGG. ASSAULT,,2022/10/28 00:00:00+00,39.2738,-76.6715,MM/DD/YYYY
Baltimore,Maryland,7A,AUTO THEFT,,2022/10/28 00:00:00+00,39.3234,-76.6662,MM/DD/YYYY
Baltimore,Maryland,3NF,ROBBERY,,2022/10/15 15:26:00+00,39.3331,-76.6258,MM/DD/YYYY
Baltimore,Maryland,3NF,ROBBERY,,2022/10/15 15:26:00+00,39.3331,-76.6258,MM/DD/YYYY
Baltimore,Maryland,7A,AUTO THEFT,,2022/10/15 23:39:00+00,39.3133,-76.6168,MM/DD/YYYY
Baltimore,Maryland,7C,AUTO THEFT,,2022/10/15 20:00:00+00,39.2771,-76.5436,MM/DD/YYYY
Baltimore,Maryland,7A,AUTO THEFT,,2022/10/15 19:15:00+00,39.3538,-76.5891,MM/DD/YYYY
Baltimore,Maryland,7A,AUTO THEFT,,2022/10/15 22:00:00+00,39.3544,-76.5899,MM/DD/YYYY
Baltimore,Maryland,7A,AUTO THEFT,,2022/10/15 23:00:00+00,39.316,-76.5681,MM/DD/YYYY
Baltimore,Maryland,4A,AGG. ASSAULT,,2022/10/15 14:15:00+00,39.342,-76.537,MM/DD/YYYY
Baltimore,Maryland,6J,LARCENY,,2022/10/15 19:30:00+00,39.3464,-76.5416,MM/DD/YYYY
Baltimore,Maryland,7A,AUTO THEFT,,2022/10/15 17:00:00+00,39.2888,-76.6128,MM/DD/YYYY
Baltimore,Maryland,6F,LARCENY,,2022/10/15 12:51:00+00,39.3579,-76.5352,MM/DD/YYYY
Baltimore,Maryland,4A,AGG. ASSAULT,,2022/10/15 15:33:00+00,39.3118,-76.671,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/10/15 15:30:00+00,39.3503,-76.5371,MM/DD/YYYY
Baltimore,Maryland,3AO,ROBBERY,,2022/10/15 15:40:00+00,39.3309,-76.6798,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/10/15 01:00:00+00,39.3664,-76.6196,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/10/15 17:45:00+00,39.2763,-76.6143,MM/DD/YYYY
Baltimore,Maryland,7A,AUTO THEFT,,2022/10/15 08:30:00+00,39.2728,-76.602,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/10/15 19:00:00+00,39.2945,-76.665,MM/DD/YYYY
Baltimore,Maryland,6J,LARCENY,,2022/10/15 17:00:00+00,39.3361,-76.5523,MM/DD/YYYY
Baltimore,Maryland,3CF,ROBBERY - COMMERCIAL,,2022/10/15 19:05:00+00,39.3257,-76.6826,MM/DD/YYYY
Baltimore,Maryland,4A,AGG. ASSAULT,,2022/11/26 00:42:00+00,39.3647,-76.61,MM/DD/YYYY
Baltimore,Maryland,4A,AGG. ASSAULT,,2022/11/26 00:42:00+00,39.3647,-76.61,MM/DD/YYYY
Baltimore,Maryland,6D,LARCENY FROM AUTO,,2022/11/26 13:00:00+00,39.3137,-76.6321,MM/DD/YYYY
Baltimore,Maryland,6F,LARCENY,,2022/11/26 19:00:00+00,39.2876,-76.6209,MM/DD/YYYY
Baltimore,Maryland,6D,LARCENY FROM AUTO,,2022/11/26 01:50:00+00,39.2919,-76.6513,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/26 19:30:00+00,39.3123,-76.6782,MM/DD/YYYY
Baltimore,Maryland,4D,AGG. ASSAULT,,2022/11/26 19:00:00+00,39.288,-76.6067,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/26 19:30:00+00,39.2741,-76.6093,MM/DD/YYYY
Baltimore,Maryland,4C,AGG. ASSAULT,,2022/11/26 20:55:00+00,39.2741,-76.6276,MM/DD/YYYY
Baltimore,Maryland,4B,AGG. ASSAULT,,2022/11/26 02:35:00+00,39.2714,-76.6767,MM/DD/YYYY
Baltimore,Maryland,4B,AGG. ASSAULT,,2022/11/26 02:35:00+00,39.2714,-76.6767,MM/DD/YYYY
Baltimore,Maryland,5A,BURGLARY,,2022/11/26 03:21:00+00,39.2623,-76.6565,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/26 16:00:00+00,39.3539,-76.5957,MM/DD/YYYY
Baltimore,Maryland,3GO,ROBBERY,,2022/11/26 15:45:00+00,39.2903,-76.6146,MM/DD/YYYY
Baltimore,Maryland,6F,LARCENY,,2022/11/26 16:48:00+00,39.3046,-76.6249,MM/DD/YYYY
Baltimore,Maryland,4E,COMMON ASSAULT,,2022/11/26 21:10:00+00,39.2879,-76.6505,MM/DD/YYYY
Baltimore,Maryland,4A,AGG. ASSAULT,,2022/11/26 00:00:00+00,39.2963,-76.686,MM/DD/YYYY
Baltimore,Maryland,4B,AGG. ASSAULT,,2022/11/26 00:23:38+00,39.313,-76.5991,MM/DD/YYYY
Baltimore,Maryland,5A,BURGLARY,,2022/11/26 01:20:00+00,39.3545,-76.6093,MM/DD/YYYY
Baltimore,Maryland,5F,BURGLARY,,2022/11/26 11:40:00+00,39.2984,-76.6141,MM/DD/YYYY
