crime_description,fbi_crime_code
INVESTIGATE PERSON,90Z
FRAUD - CREDIT CARD / ATM FRAUD,26B
FRAUD - WELFARE,26D
HARASSMENT/ CRIMINAL HARASSMENT,90Z
M/V PLATES - LOST,90Z
LARCENY THEFT OF BICYCLE,23H
INVESTIGATE PROPERTY,90Z
PROPERTY - LOST/ MISSING,23H
FRAUD - IMPERSONATION,26C
TOWED MOTOR VEHICLE,90Z
VAL - VIOLATION OF AUTO LAW,90Z
ASSAULT - SIMPLE,13B
M/V ACCIDENT - PERSONAL INJURY,90Z
THREATS TO DO BODILY HARM,90Z
AUTO THEFT - LEASED/RENTED VEHICLE,240
LARCENY THEFT OF MV PARTS & ACCESSORIES,23G
VANDALISM,290
FRAUD - FALSE PRETENSE / SCHEME,26A
AUTO THEFT,240
LARCENY ALL OTHERS,23H
MISSING PERSON,90Z
SERVICE TO OTHER AGENCY,90Z
LARCENY THEFT FROM BUILDING,23D
FRAUD - WIRE,26E
PROPERTY - ACCIDENTAL DAMAGE,290
FORGERY / COUNTERFEITING,250
RECOVERED - MV RECOVERED IN BOSTON (STOLEN IN BOSTON) MUST BE SUPPLEMENTAL,90Z
ASSAULT - AGGRAVATED,13A
BURGLARY - COMMERICAL,220
M/V ACCIDENT - PROPERTY DAMAGE,290
BURGLARY - RESIDENTIAL,220
FIRE REPORT,90Z
SICK ASSIST,90Z
M/V - LEAVING SCENE - PROPERTY DAMAGE,290
GRAFFITI,290
VAL - OPERATING W/O AUTHORIZATION LAWFUL,90Z
LARCENY SHOPLIFTING,23C
ROBBERY,120
PROPERTY - FOUND,90Z
LARCENY THEFT FROM MV - NON-ACCESSORY,23F
M/V ACCIDENT - OTHER,90Z
FIREARM/WEAPON - FOUND OR CONFISCATED,90Z
MISSING PERSON - LOCATED,90Z
VIOLATION - RESTRAINING ORDER (NO ARREST),
VERBAL DISPUTE,90Z
AUTO THEFT - MOTORCYCLE / SCOOTER,230
EMBEZZLEMENT,270
SICK/INJURED/MEDICAL - POLICE,90Z
DANGEROUS OR HAZARDOUS CONDITION,90Z
SUDDEN DEATH,90Z
M/V ACCIDENT - POLICE VEHICLE,90Z
SICK/INJURED/MEDICAL - PERSON,90Z
DRUGS - POSSESSION/ SALE/ MANUFACTURING/ USE,35A
WARRANT ARREST - OUTSIDE OF BOSTON WARRANT,90Z
LIQUOR/ALCOHOL - DRINKING IN PUBLIC,90E
SICK ASSIST - DRUG RELATED ILLNESS,90Z
M/V - LEAVING SCENE - PERSONAL INJURY,90Z
LICENSE PREMISE VIOLATION,90Z
TRESPASSING,90J
MISSING PERSON - NOT REPORTED - LOCATED,90Z
LANDLORD - TENANT,90Z
WEAPON VIOLATION - CARRY/ POSSESSING/ SALE/ TRAFFICKING/ OTHER,520
M/V ACCIDENT - INVOLVING PEDESTRIAN - INJURY,90Z
M/V ACCIDENT - INVOLVING PEDESTRIAN - NO INJURY,90Z
VAL - OPERATING AFTER REV/SUSP.,90Z
"ANIMAL INCIDENTS (DOG BITES, LOST DOG, ETC)",90Z
DEATH INVESTIGATION,90Z
M/V ACCIDENT - OTHER CITY VEHICLE,90Z
NOISY PARTY/RADIO-NO ARREST,90C
LARCENY PURSE SNATCH - NO FORCE,23B
RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),90Z
ANIMAL ABUSE,90Z
STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,23H
WARRANT ARREST - BOSTON WARRANT (MUST BE SUPPLEMENTAL),90Z
FIRE REPORT/ALARM - FALSE,90Z
EVADING FARE,90Z
BALLISTICS EVIDENCE/FOUND,90Z
OPERATING UNDER THE INFLUENCE (OUI) ALCOHOL,90D
BREAKING AND ENTERING (B&E) MOTOR VEHICLE (NO PROPERTY STOLEN),220
VIOLATION - HARASSMENT PREVENTION ORDER,90Z
INTIMIDATING WITNESS,90Z
EXTORTION OR BLACKMAIL,210
BOMB THREAT,90C
