Aggravated Assault,[13A]
Intimidation,[13C]
Simple Assault,[13B]
All Other Thefts,[23H]
Theft From Motor Vehicle,[23F]
Other Unlisted Non-Criminal,[90Z]
Drug/Narcotic Violations,[35A]
Damage/Vandalism Of Property,[290]
All Other Offenses,[90Z]
Stolen Property Offenses,[280]
Missing Person,[90Z]
Suicide,[90Z]
Overdose,[35]
Burglary/B&E,[220]
Trespass Of Real Property,[90J]
Sudden/Natural Death Investigation,[90Z]
Forcible Fondling,[11D]
Forcible Rape,[11A]
Theft of Motor Vehicle Parts from Vehicle,[23G]
Theft From Building,[23D]
Motor Vehicle Theft,[240]
Robbery,[120]
Shoplifting,[23C]
Identity Theft,[26C]
False Pretenses/Swindle,[26A]
Embezzlement,[270]
Purse-Snatching,[23B]
Driving Under The Influence,[90D]
Weapon Law Violations,[520]
Counterfeiting/Forgery,[250]
Impersonation,[26C]
Extortion/Blackmail,[210]
Hacking/Computer Invasion,[90Z]
Credit Card/Teller Fraud,[26B]
Peeping Tom,[90H]
Vehicle Recovery,[240]
Kidnapping,[100]
Forcible Sodomy,[11B]
Statutory Rape,[11A]
Justifiable Homicide,[09C]
Indecent Exposure,[90Z]
Theft From Coin-Operated Machine Or Device,[23E]
Disorderly Conduct,[90C]
Pocket-Picking,[23A]
Drug Equipment Violations,[35B]
Pornography/Obscene Material,[370]
Affray,[90C]
Public Accident,[90C]
Arson,[200]
Dog Bite/Animal Control Incident,[90Z]
Murder,[09A]
Animal Cruelty,[90Z]
"Human Trafficking, Involuntary Servitude",[90Z]
Liquor Law Violations,[90G]
Family Offenses; Nonviolent,[90F]
Wire Fraud,[26E]
Worthless Check: Felony (over $2000),[90A]
Fire (Accidental/Non-Arson),[90Z]
Negligent Manslaughter,[09B]
Curfew/Loitering/Vagrancy Violations,[90B]
Welfare Fraud,[26D]
"Human Trafficking, Commercial Sex Acts",[40]
Incest,[36A]
Purchasing Prostitution,[40]
Sexual Assault With Object,[11C]
Assisting Prostitution,[40B]
Prostitution,[40A]
Assisting Gambling,[39B]
Gas Leak,[90Z]
Gambling Equipment Violations,[39C]
