OFFENSE_TYPE_NAME,NCIC_OFFENSE_CODE,NIBRS_OFFENSE_CODE,https://www.atlantapd.org/home/showpublisheddocument/2881/637062879602730000
Possession of stolen property,2804,[280],
Possession of a financial device,2804,[280],
Damaged business property,2901,[290],
Criminal mischief to private property,2902,[290],
Criminal mischief to public property,2903,[290],
Criminal mischief - other,2999,[290],
Criminal mischief to a motor vehicle,2999,[290],
Criminal mischief - graffiti,2999,[290],
Manufacture of a hallucinogenic drug,3501,[35A],
Selling a hallucinogenic drug,3503,[35A],
Possession of a hallucinogenic drug,3504,[35A],
Selling heroin,3510,[35A],
Possession of heroin,3512,[35A],
Selling opium or an opium derivative,3520,[35A],
Possession of opium or an opium derivative,3522,[35A],
Selling cocaine,3530,[35A],
Possession of cocaine,3532,[35A],
Selling a synthetic narcotic drug,3540,[35A],
Possession of a synthetic narcotic drug,3542,[35A],
Possession of drug paraphernalia,3550,[35B],
Selling marijuana,3560,[35A],
Possession of marijuana,3562,[35A],
Cultivation of marijuana,3563,[35A],
Manufacture of methampetamine,3570,[35A],
Selling methampetamine,3571,[35A],
Possession of methampetamine,3572,[35A],
Manufacture of a barbiturate,3580,[35A],
Selling a barbiturate,3581,[35A],
Possession of a barbiturate,3582,[35A],
Other dangerous drugs - PCS,3599,[35A],
Manufacture or sell other dangerous drugs,3599,[35A],
Fondling of an adult,3601,[11D],
Indecent exposure,3605,[370],
Incest with an adult,3607,[36A],
Window Peeping,3611,[90H],
Failure to register as a sex offender,3612,[90Z],
Sex offender registration violation,3613,[90Z],
Indecent exposure to an adult,3615,[90Z],
Sex offense - other,3699,[370],
Possession of obscene material,3700,,
Manufacture of obscene material,3701,[370],
Other obscenity crime,3799,[370],
Bigamy,3804,[90Z],
Operating a gambling card game,3902,[39B],
Operating a gambling dice game,3905,[39B],
Possession of a gambling device,3908,[39C],
Running a gambling operation,3911,[39C],
Running an illegal lottery,3915,[39B],
Tampering with sports,3919,[39D],
Gambling - betting or wagering,3990,[39A],
Gambling - gaming operation,3991,,
Illegal gambling,3999,[39B],
Keeping a house of prostitution,4001,[40B],
"Procure for prostitution (trafficking, operating a bordelo)",4002,[40B],
Pimping for prostitution,4002,[40B],
Engaging in prostitution,4004,[40A],
Prostitution,4004,[40A],
Aiding the act of prostitution,4099,[40B],
Display for prostitution,4099,[40B],
Manufacture of liquor,4101,[90G],
Illegal sale of liquor,4102,[90G],
Illegal possession of liquor,4104,[90G],
Liquor law violation,4105,[90G],
Liquor law violation - other,4199,[90G],
Public intoxication,4200,,
Resisting arrest,4801,[90Z],
Obstruction of a criminal investigation,4802,,
Giving false information to police,4803,[26A],
Making a false report to police,4803,[26A],
Refusing to aid an officer,4807,,
Failure to report abuse,4812,,
Failure to obey a lawful order by police,4813,,
Obstructing police,4899,,
Escape of a prisoner,4901,,
Aiding the escape of a prisoner,4903,[90Z],
Escape or flight,4999,[90Z],
Intimidation of a witness,5006,[90Z],
Obstructing a court order,5007,[90Z],
Parole violation,5011,[90Z],
Probation violation,5012,[90Z],
Failure to appear,5015,[90Z],
Violation of a restraining order,5016,[90Z],
Violation of a court order,5016,[90Z],
Violation of a court order,5016,[90Z],
Obstruction of a government operation,5099,[90Z],
Bribery,5104,[510],
Altering the serial number,5201,[250],
Carrying a concealed weapon,5202,[520],
Carrying a prohibited weapon,5203,,
Using an explosive/incendiary device,5206,,
Possession of an explosive,5207,,
Possession of an explosive/incendiary device,5211,[520],
Possession of an illegal/dangerous weapon,5212,[520],
Possession of a weapon - POWPO,5212,[520],
Unlawful discharge of a weapon,5213,[520],
Flourishing of a weapon,5213,[520],
Unlawful sale of a weapon,5214,[520],
Bomb threat,5215,,
Weapon - other,5299,[520],
Inciting a riot,5302,[90Z],
Engaging in  a riot,5303,[90Z],
Police Interference,5305,[90Z],
Unlawful assembly,5307,[90Z],
Harassment,5309,[13],
Harassment - DV,5309,[13],
Obscene harassment,5309,[13D],
Harassment - sexual in nature,5309,[13],
Desecrating the flag,5310,[90C],
Public fighting,5311,[90C],
Disturbing the peace,5312,,
Curfew,5313,,
Loitering,5314,[90C],
Vagrancy,5315,,
Public  peace - other,5399,[90C],
Traffic accident - hit and run,5401,,
Traffic accident - DUI-DUID,5420,,
Traffic accident,5441,,
Traffic accident - SBI,5441,,
Traffic accident - Fatal,5441,,
Traffic accident - Police,5441,,
Habitual traffic offender,5444,,
Vehicular homicide,5450,,
Impound abandoned vehicle on right-of-way,5454,,
Vehicular assault,5455,,
Traffic offense - other,5499,,
Vehicular eluding,5499,,
Vehicular eluding - no chase,5499,,
Health & safety violations,5599,,
Eavesdropping,5704,[90Z],
Criminal trespassing,5707,[90J],
Wiretapping,5799,,
Possession of contraband,5801,,
Smuggle contraband to prisoner,5802,,
Election laws violation,5999,,
Money laundering,6110,,
Tax revenue violation,6199,,
Cruelty to animals,6201,[90Z],
Illegal dumping,6205,,
Other conversation offense,6299,,
Littering,6299,[90Z],
Other environmental or animal offense,6299,,
Possession of a dangerous animal,6299,,
Money laundering,6300,,
Crimes against a person - other,7099,,
