CITY_NAME,STATE_NAME,CRIME_CODE,CRIME_DESCRIPTION,DATE_REPORTED,DATE_OCCURRED,LATITUDE,LONGITUDE,DATE_FORMAT
BALTIMORE,MD,4C,AGG. ASSAULT,,2020/12/24 11:02:00+00,39.3128,-76.6297,MM/DD/YYYY
BALTIMORE,MD,6J,LARCENY,,2020/12/24 12:52:00+00,39.3363,-76.6702,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/12/24 10:04:00+00,39.3067,-76.648,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/12/24 01:44:00+00,39.2725,-76.6634,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/12/24 13:30:00+00,39.3274,-76.6095,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/12/24 14:00:00+00,39.2902,-76.5561,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/12/24 13:57:00+00,39.3017,-76.6566,MM/DD/YYYY
BALTIMORE,MD,7A,AUTO THEFT,,2020/12/24 17:00:00+00,39.3132,-76.6464,MM/DD/YYYY
BALTIMORE,MD,7A,AUTO THEFT,,2020/12/24 20:30:00+00,39.3162,-76.5434,MM/DD/YYYY
BALTIMORE,MD,3K,ROBBERY,,2020/12/24 01:30:00+00,39.3208,-76.5748,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/12/24 00:12:00+00,39.3092,-76.5782,MM/DD/YYYY
BALTIMORE,MD,6E,LARCENY,,2020/12/23 08:00:00+00,39.2973,-76.6629,MM/DD/YYYY
BALTIMORE,MD,4B,AGG. ASSAULT,,2020/12/23 01:30:00+00,39.2802,-76.6318,MM/DD/YYYY
BALTIMORE,MD,6J,LARCENY,,2020/12/23 16:20:00+00,39.3647,-76.6954,MM/DD/YYYY
BALTIMORE,MD,2A,RAPE,,2020/12/23 01:30:00+00,39.2735,-76.6725,MM/DD/YYYY
BALTIMORE,MD,8AO,ARSON,,2020/12/23 11:49:00+00,39.2904,-76.6197,MM/DD/YYYY
BALTIMORE,MD,6J,LARCENY,,2020/12/23 04:39:00+00,39.3235,-76.5642,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/12/23 09:32:00+00,39.2279,-76.5995,MM/DD/YYYY
BALTIMORE,MD,6D,LARCENY FROM AUTO,,2020/12/23 18:30:00+00,39.2383,-76.6007,MM/DD/YYYY
BALTIMORE,MD,7A,AUTO THEFT,,2020/12/23 15:00:00+00,39.3185,-76.551,MM/DD/YYYY
BALTIMORE,MD,2A,RAPE,,2020/12/06 20:00:00+00,39.2835,-76.6425,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/12/06 01:55:00+00,39.3268,-76.5536,MM/DD/YYYY
BALTIMORE,MD,4B,AGG. ASSAULT,,2020/12/06 13:30:00+00,39.2936,-76.6899,MM/DD/YYYY
BALTIMORE,MD,4C,AGG. ASSAULT,,2020/12/06 16:00:00+00,39.3154,-76.5663,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/12/06 02:31:00+00,39.3194,-76.6586,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/12/06 05:50:00+00,39.323,-76.5488,MM/DD/YYYY
BALTIMORE,MD,4E,COMMON ASSAULT,,2020/12/06 20:12:00+00,39.2968,-76.6862,MM/DD/YYYY
BALTIMORE,MD,6D,LARCENY FROM AUTO,,2020/12/06 23:00:00+00,39.2866,-76.5699,MM/DD/YYYY
BALTIMORE,MD,6G,LARCENY,,2020/12/06 14:00:00+00,39.3247,-76.5684,MM/DD/YYYY
BALTIMORE,MD,6D,LARCENY FROM AUTO,,2020/12/06 22:30:00+00,39.2905,-76.6151,MM/DD/YYYY
BALTIMORE,MD,6E,LARCENY,,2020/12/06 19:00:00+00,39.3617,-76.5825,MM/DD/YYYY
BALTIMORE,MD,7A,AUTO THEFT,,2020/12/06 14:00:00+00,39.2911,-76.6332,MM/DD/YYYY
BALTIMORE,MD,3B,ROBBERY,,2020/12/23 17:00:00+00,39.2905,-76.621,MM/DD/YYYY
BALTIMORE,MD,1O,HOMICIDE,,2020/12/23 14:03:00+00,39.3038,-76.6447,MM/DD/YYYY
BALTIMORE,MD,6D,LARCENY FROM AUTO,,2020/12/23 06:30:00+00,39.3045,-76.5592,MM/DD/YYYY
