CITY_NAME,STATE_NAME,CRIME_CODE,CRIME_DESCRIPTION,DATE_REPORTED,DATE_OCCURRED,LATITUDE,LONGITUDE,DATE_FORMAT
Washington DC,DC,,THEFT/OTHER,10/30/2020,10/29/2020,38.86891865,-76.95947618,MM/DD/YYYY 
Washington DC,DC,,ASSAULT W/DANGEROUS WEAPON,10/30/2020,10/30/2020,38.91259858,-77.00277198,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/30/2020,10/28/2020,38.90314029,-77.03342124,MM/DD/YYYY 
Washington DC,DC,,BURGLARY,10/30/2020,10/29/2020,38.90564582,-77.02498795,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/30/2020,10/30/2020,38.90020385,-76.99556417,MM/DD/YYYY 
Washington DC,DC,,ROBBERY,10/30/2020,10/30/2020,38.91005281,-77.00732432,MM/DD/YYYY 
Washington DC,DC,,BURGLARY,10/30/2020,10/30/2020,38.94186871,-77.03519064,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/30/2020,10/30/2020,38.90888961,-76.93210108,MM/DD/YYYY 
Washington DC,DC,,ASSAULT W/DANGEROUS WEAPON,10/30/2020,10/30/2020,38.84708341,-77.00377522,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/30/2020,10/30/2020,38.92742558,-77.03407926,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/30/2020,10/28/2020,38.89068157,-76.95440895,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/30/2020,10/19/2020,38.94826528,-77.03761831,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/30/2020,10/30/2020,38.91408928,-77.0265127,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/30/2020,10/24/2020,38.94358142,-77.00692195,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/30/2020,10/30/2020,38.90312075,-77.01892839,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/30/2020,10/29/2020,38.95133729,-77.03342757,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/30/2020,10/30/2020,38.84714414,-76.97971089,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/30/2020,10/30/2020,38.92937179,-77.08380425,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/30/2020,10/30/2020,38.93416819,-77.04061345,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/30/2020,10/28/2020,38.91260486,-77.0441526,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/30/2020,10/28/2020,38.90213771,-76.93918877,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/30/2020,10/30/2020,38.93122672,-77.01391243,MM/DD/YYYY 
Washington DC,DC,,HOMICIDE,10/30/2020,10/30/2020,38.82802987,-77.00056581,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/30/2020,10/30/2020,38.90252002,-77.01691684,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/30/2020,10/30/2020,38.9222166,-76.9931402,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/30/2020,10/30/2020,38.93445335,-77.02092698,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/30/2020,10/28/2020,38.90996279,-76.98636532,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/31/2020,10/30/2020,38.92951689,-77.03272986,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/30/2020,10/30/2020,38.91408907,-77.02497857,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/31/2020,10/30/2020,38.83203768,-76.99287833,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/30/2020,10/29/2020,38.88410014,-76.97988162,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/31/2020,10/30/2020,38.88347269,-76.99024612,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/31/2020,10/30/2020,38.88620786,-76.92697896,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/31/2020,10/30/2020,38.90490764,-77.02598633,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/31/2020,10/31/2020,38.90020221,-76.99320123,MM/DD/YYYY 
Washington DC,DC,,ROBBERY,10/31/2020,10/31/2020,38.93584216,-77.03519031,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/31/2020,10/30/2020,38.90595209,-76.97621374,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/31/2020,10/31/2020,38.9008702,-76.94591782,MM/DD/YYYY 
Washington DC,DC,,ROBBERY,10/31/2020,10/31/2020,38.87179159,-76.97408985,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/31/2020,10/31/2020,38.8935789,-76.9932029,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/31/2020,10/31/2020,38.90246726,-76.94947629,MM/DD/YYYY 
Washington DC,DC,,ROBBERY,10/31/2020,10/31/2020,38.91969742,-76.9705258,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/31/2020,10/30/2020,38.90625455,-77.0501035,MM/DD/YYYY 
Washington DC,DC,,ROBBERY,10/31/2020,10/31/2020,38.85174695,-76.96923719,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/31/2020,10/31/2020,38.91564565,-77.01240844,MM/DD/YYYY 
Washington DC,DC,,ROBBERY,10/31/2020,10/31/2020,38.83335719,-76.9874484,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/31/2020,10/31/2020,38.84973551,-76.9726677,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/31/2020,10/31/2020,38.89751756,-76.93847098,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/31/2020,10/28/2020,38.90389285,-77.05913364,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/31/2020,10/31/2020,38.93127137,-77.02660686,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/31/2020,10/31/2020,38.9037338,-77.01754994,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/31/2020,10/31/2020,38.90127536,-76.98260849,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/31/2020,10/31/2020,38.88535413,-76.98743132,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/31/2020,10/31/2020,38.93056605,-77.04007672,MM/DD/YYYY 
Washington DC,DC,,ASSAULT W/DANGEROUS WEAPON,10/31/2020,10/31/2020,38.94924665,-77.08029824,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/31/2020,10/31/2020,38.88603921,-77.01873069,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/31/2020,10/31/2020,38.83196561,-76.99043025,MM/DD/YYYY 
Washington DC,DC,,ROBBERY,10/31/2020,10/31/2020,38.92796936,-77.03992799,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/31/2020,10/31/2020,38.97494536,-77.0155687,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/31/2020,10/31/2020,38.89733441,-77.00004069,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/31/2020,10/31/2020,38.84653773,-76.98155338,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/31/2020,10/27/2020,38.91483351,-77.04019633,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/31/2020,10/31/2020,38.96741155,-77.0274889,MM/DD/YYYY 
Washington DC,DC,,ASSAULT W/DANGEROUS WEAPON,10/31/2020,10/31/2020,38.86102128,-76.97095697,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/31/2020,10/31/2020,38.89703777,-76.93071051,MM/DD/YYYY 
Washington DC,DC,,ASSAULT W/DANGEROUS WEAPON,10/31/2020,10/31/2020,38.89733319,-76.98740719,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/31/2020,10/31/2020,38.882728,-77.00004782,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,11/1/2020,10/31/2020,38.87737744,-76.96409981,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,11/1/2020,10/31/2020,38.88380845,-76.92982139,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/31/2020,10/31/2020,38.92130288,-77.01059538,MM/DD/YYYY 
Washington DC,DC,,ASSAULT W/DANGEROUS WEAPON,10/31/2020,10/31/2020,38.89734789,-77.02650856,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,11/1/2020,10/31/2020,38.90550094,-76.93710447,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,11/3/2020,10/31/2020,38.88350101,-76.92756985,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/31/2020,10/31/2020,38.90773396,-77.06351559,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,11/1/2020,10/31/2020,38.92242911,-77.03085753,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/31/2020,10/30/2020,38.93730428,-77.06375047,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,11/1/2020,10/31/2020,38.9849789,-77.04435615,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,11/1/2020,10/31/2020,38.89905938,-77.01618629,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,11/1/2020,10/31/2020,38.90803854,-77.03195018,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,11/1/2020,10/24/2020,38.94397231,-77.07582202,MM/DD/YYYY 
Washington DC,DC,,ROBBERY,11/1/2020,10/31/2020,38.87646039,-77.01640739,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,11/1/2020,11/1/2020,38.93371782,-77.03273018,MM/DD/YYYY 
Washington DC,DC,,BURGLARY,11/1/2020,11/1/2020,38.91001723,-77.03195314,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,11/1/2020,11/1/2020,38.969523,-77.00904184,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,11/1/2020,11/1/2020,38.94719323,-77.02824351,MM/DD/YYYY 
Washington DC,DC,,BURGLARY,11/1/2020,11/1/2020,38.91556896,-77.01349773,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,11/1/2020,11/1/2020,38.83373357,-77.00483297,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,11/1/2020,11/1/2020,38.8694785,-76.98028344,MM/DD/YYYY 
Washington DC,DC,,ASSAULT W/DANGEROUS WEAPON,11/1/2020,11/1/2020,38.91700008,-77.03078611,MM/DD/YYYY 
Washington DC,DC,,ROBBERY,11/1/2020,11/1/2020,38.90927228,-77.06240089,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,11/1/2020,10/31/2020,38.86141518,-76.97174893,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,11/1/2020,11/1/2020,38.91407931,-77.00130859,MM/DD/YYYY 
Washington DC,DC,,ROBBERY,11/1/2020,11/1/2020,38.90909958,-77.048797,MM/DD/YYYY 
Washington DC,DC,,HOMICIDE,11/1/2020,11/1/2020,38.86332381,-76.98905834,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,11/1/2020,11/1/2020,38.92396506,-76.96510235,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,11/1/2020,11/1/2020,38.90927228,-77.06240089,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,11/1/2020,11/1/2020,38.88809571,-76.92352262,MM/DD/YYYY 
Washington DC,DC,,SEX ABUSE,11/1/2020,11/1/2020,38.89665588,-76.94764751,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,11/1/2020,11/1/2020,38.82691248,-77.0066703,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,11/1/2020,10/29/2020,38.90797706,-77.00024443,MM/DD/YYYY 
Washington DC,DC,,ROBBERY,11/1/2020,11/1/2020,38.92915045,-76.96009684,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,11/1/2020,11/1/2020,38.91655531,-76.97309237,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,11/1/2020,11/1/2020,38.9434505,-77.00326078,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,11/1/2020,11/1/2020,38.94027739,-77.02510206,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,11/1/2020,11/1/2020,38.9823875,-77.02655012,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,11/1/2020,11/1/2020,38.88419789,-76.92235033,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,11/2/2020,11/1/2020,38.86353456,-76.97397204,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,11/1/2020,11/1/2020,38.87884247,-77.00058128,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,11/1/2020,10/31/2020,38.8743343,-77.00053679,MM/DD/YYYY 
Washington DC,DC,,BURGLARY,11/2/2020,10/29/2020,38.95853385,-77.08458744,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,11/1/2020,11/1/2020,38.91628428,-77.03078765,MM/DD/YYYY 
Washington DC,DC,,ROBBERY,11/1/2020,11/1/2020,38.87903783,-76.92713325,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,11/1/2020,11/1/2020,38.85947756,-76.96763707,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,11/1/2020,11/1/2020,38.90965158,-77.03325434,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,11/2/2020,10/30/2020,38.90076177,-76.99264424,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,11/2/2020,11/1/2020,38.92299105,-77.03648996,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,11/2/2020,11/1/2020,38.9056424,-77.00747409,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,11/2/2020,11/2/2020,38.91334462,-77.0455887,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,11/2/2020,11/1/2020,38.94612272,-77.02812184,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,11/2/2020,11/2/2020,38.90252019,-77.01567671,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,11/2/2020,11/2/2020,38.87411981,-76.97206695,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,11/2/2020,10/31/2020,38.92864836,-76.98952566,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,11/2/2020,11/2/2020,38.90258345,-76.97468363,MM/DD/YYYY 
Washington DC,DC,,ROBBERY,11/2/2020,11/2/2020,38.90252277,-77.03279345,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/24/2020,10/20/2020,38.90423795,-77.0402985,MM/DD/YYYY 
Washington DC,DC,,ROBBERY,10/24/2020,10/24/2020,38.86439491,-76.9758712,MM/DD/YYYY 
Washington DC,DC,,SEX ABUSE,10/24/2020,10/23/2020,38.93122672,-77.01391243,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/24/2020,10/24/2020,38.86438031,-76.99000889,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/24/2020,10/24/2020,38.8622877,-76.99487278,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/24/2020,10/24/2020,38.88546008,-76.93179722,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/24/2020,10/23/2020,38.88603238,-76.98926855,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/24/2020,10/23/2020,38.88081346,-76.92813689,MM/DD/YYYY 
Washington DC,DC,,ASSAULT W/DANGEROUS WEAPON,10/24/2020,10/24/2020,38.8441104,-76.99818792,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/24/2020,10/24/2020,38.92504456,-76.98076295,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/24/2020,10/16/2020,38.85130761,-76.96272056,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/25/2020,10/24/2020,38.87968874,-76.98184561,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/24/2020,10/24/2020,38.90862323,-76.98787445,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/24/2020,10/23/2020,38.90069883,-77.04947603,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/24/2020,10/24/2020,38.93290481,-77.02051408,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/25/2020,10/24/2020,38.91934984,-77.0455968,MM/DD/YYYY 
Washington DC,DC,,THEFT F/AUTO,10/25/2020,10/24/2020,38.89773014,-76.9984487,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/24/2020,10/24/2020,38.9305045,-77.04485509,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/24/2020,10/24/2020,38.91700008,-77.03078611,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/25/2020,10/24/2020,38.92951689,-77.03272986,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/25/2020,10/25/2020,38.9376054,-77.03121751,MM/DD/YYYY 
Washington DC,DC,,ROBBERY,10/25/2020,10/25/2020,38.82912455,-77.00839076,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/25/2020,10/25/2020,38.97884712,-77.02644193,MM/DD/YYYY 
Washington DC,DC,,MOTOR VEHICLE THEFT,10/25/2020,10/25/2020,38.86574059,-76.94419696,MM/DD/YYYY 
Washington DC,DC,,ASSAULT W/DANGEROUS WEAPON,10/25/2020,10/25/2020,38.85730445,-76.9743793,MM/DD/YYYY 
Washington DC,DC,,ROBBERY,10/25/2020,10/25/2020,38.94561849,-77.00641135,MM/DD/YYYY 
Washington DC,DC,,THEFT/OTHER,10/25/2020,10/25/2020,38.85429767,-76.96244277,MM/DD/YYYY 
